,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
136,688385.SH,20240228,34.19,35.07,31.84,31.84,34.7,-2.86,-8.2421,206712.28,694328.414
137,688385.SH,20240227,30.0,35.3,29.68,34.7,30.2,4.5,14.9007,242110.54,794717.147
138,688385.SH,20240226,30.84,30.95,29.36,30.2,31.1,-0.9,-2.8939,135176.27,407260.592
139,688385.SH,20240223,30.54,31.2,30.0,31.1,30.41,0.69,2.269,93558.54,285205.821
140,688385.SH,20240222,29.9,30.75,29.71,30.41,29.8,0.61,2.047,70471.16,213624.029
141,688385.SH,20240221,29.6,30.7,29.1,29.8,29.76,0.04,0.1344,84064.76,252568.714
142,688385.SH,20240220,29.72,29.99,28.73,29.76,29.96,-0.2,-0.6676,64557.31,189300.554
143,688385.SH,20240219,30.56,30.88,29.32,29.96,29.77,0.19,0.6382,109546.61,328744.186
144,688385.SH,20240208,28.33,30.8,28.33,29.77,28.29,1.48,5.2315,113629.85,340029.998
145,688385.SH,20240207,26.58,28.78,26.49,28.29,26.4,1.89,7.1591,134959.57,377857.522
146,688385.SH,20240206,24.25,26.48,23.64,26.4,24.36,2.04,8.3744,97397.53,244758.222
147,688385.SH,20240205,25.3,25.64,23.18,24.36,25.4,-1.04,-4.0945,101799.39,248018.865
148,688385.SH,20240202,27.0,27.35,24.62,25.4,26.81,-1.41,-5.2592,70565.92,182441.199
149,688385.SH,20240201,26.95,27.78,26.06,26.81,27.16,-0.35,-1.2887,77788.5,209205.102
150,688385.SH,20240131,28.1,29.12,27.0,27.16,28.04,-0.88,-3.1384,77175.07,215254.856
151,688385.SH,20240130,29.54,29.54,28.01,28.04,29.33,-1.29,-4.3982,53749.62,153945.371
152,688385.SH,20240129,30.7,31.1,29.19,29.33,30.25,-0.92,-3.0413,49595.88,148171.458
153,688385.SH,20240126,31.08,31.25,30.18,30.25,31.31,-1.06,-3.3855,54222.05,166425.941
154,688385.SH,20240125,30.13,31.38,29.85,31.31,30.17,1.14,3.7786,59305.79,182604.261
155,688385.SH,20240124,30.65,30.8,28.92,30.17,30.6,-0.43,-1.4052,76550.11,227386.009
156,688385.SH,20240123,29.46,31.12,29.46,30.6,29.58,1.02,3.4483,61331.88,186817.594
157,688385.SH,20240122,31.47,31.47,29.42,29.58,31.38,-1.8,-5.7361,65496.54,199092.04
158,688385.SH,20240119,32.11,32.42,31.38,31.38,32.21,-0.83,-2.5768,39797.24,126530.665
159,688385.SH,20240118,31.91,32.3,31.0,32.21,31.91,0.3,0.9401,59201.61,187700.083
160,688385.SH,20240117,33.3,33.4,31.91,31.91,33.25,-1.34,-4.0301,38627.6,125546.407
161,688385.SH,20240116,33.69,33.79,32.67,33.25,33.44,-0.19,-0.5682,47074.67,155871.512
162,688385.SH,20240115,33.64,34.22,33.25,33.44,33.74,-0.3,-0.8892,48053.51,162016.15
163,688385.SH,20240112,34.35,34.48,33.74,33.74,34.28,-0.54,-1.5753,42268.45,143951.799
164,688385.SH,20240111,33.69,34.6,33.51,34.28,33.55,0.73,2.1759,57850.01,197926.969
